us_state,rate_of_heart_disease,deaths
AL,229.7,12981
AK,154.1,846
AZ,138.8,11458
AR,223.2,7938
CA,145.6,61289
CO,128.4,7009
CT,147.8,7205
DE,165.2,1940
FL,149.8,45441
GA,180.2,17769
HI,135.6,2605
ID,156.4,2825
IL,171.5,25652
IN,182.3,13948
IA,160.9,6813
KS,158.5,5624
KY,197.8,10077
LA,212.1,10665
ME,157.3,3009
MD,169.3,11481
MA,138.5,12130
MI,198.9,24794
MN,116.6,7844
MS,240.5,7969
MO,197.9,14808
MT,155.8,2104
NE,154.5,3591
NV,200.9,6114
NH,149,2571
NJ,166.7,18647
NM,142.4,3508
NY,181.6,44450
NC,162.4,18474
ND,142.4,1323
OH,191.7,28069
OK,234,10310
OR,136.1,6859
PA,177.8,32042
RI,160.4,2371
SC,177.8,10092
SD,150.9,1711
TN,207.3,15730
TX,171.6,43298
UT,152.9,3598
VT,152.5,1311
VA,154.2,14077
WA,137.6,11025
WV,191.3,4727
WI,156,11473
WY,159.4,1030
