us_state,rate_of_heart_disease,deaths
AL,222.5,12832
AK,141,831
AZ,138.9,11957
AR,223.7,8090
CA,143.1,61573
CO,129.8,7277
CT,144.3,7051
DE,163.2,1974
FL,146.2,45659
GA,179,18143
HI,127,2488
ID,160,2969
IL,165.7,25013
IN,180.6,13952
IA,162.8,6937
KS,159.2,5672
KY,203,10519
LA,213.1,10943
ME,149.5,2907
MD,164.3,11390
MA,134.8,11921
MI,200.6,25304
MN,114.9,7825
MS,233.1,7865
MO,192.1,14579
MT,154.4,2138
NE,140.3,3322
NV,205.9,6457
NH,151.1,2631
NJ,164.7,18597
NM,150.6,3800
NY,177.8,44076
NC,155.8,18266
ND,140.9,1338
OH,185.1,27410
OK,228.2,10209
OR,135,6968
PA,176.2,31990
RI,152.4,2256
SC,173.8,10195
SD,153.4,1729
TN,198.8,15429
TX,167.7,43772
UT,150,3636
VT,158.8,1366
VA,150.7,14124
WA,136.1,11161
WV,191,4767
WI,154.9,11526
WY,157.8,1051
