us_state,rate_of_heart_disease,deaths
AL,274.5,12869
AK,166.1,627
AZ,189.8,10966
AR,250.3,7575
CA,203,64916
CO,164.8,6307
CT,180.7,7650
DE,232.3,2031
FL,200,46279
GA,236,16781
HI,160.9,2319
ID,182.6,2450
IL,220.7,28226
IN,227.9,14542
IA,196.6,7437
KS,192.6,5960
KY,257.3,10782
LA,256.9,11008
ME,186.5,2941
MD,217.9,11594
MA,179,13280
MI,241.3,25128
MN,145.4,7926
MS,306.4,8637
MO,236.7,14974
MT,172.2,1855
NE,179.4,3640
NV,246.7,5094
NH,189.8,2530
NJ,219.1,20655
NM,186.3,3435
NY,248.3,51985
NC,211.6,17765
ND,181.2,1512
OH,231.9,29003
OK,272.4,10043
OR,169.6,6791
PA,229.3,36207
RI,226.8,3005
SC,223.9,9359
SD,186.3,1776
TN,251.2,14946
TX,220.4,40152
UT,167.9,2872
VT,180.5,1234
VA,203,14192
WA,180.5,10985
WV,253.6,5538
WI,190.6,11842
WY,188.3,952
