us_state,rate_of_heart_disease,deaths
AL,224,12461
AK,146.6,782
AZ,136.4,10805
AR,217.5,7581
CA,142.2,58189
CO,130.3,6900
CT,145.6,7018
DE,168.7,1921
FL,151.3,44511
GA,179.7,17107
HI,136.7,2528
ID,152.8,2676
IL,169.7,25024
IN,182.7,13764
IA,157.3,6615
KS,157.4,5479
KY,200.5,10013
LA,216.3,10647
ME,147.9,2776
MD,167.8,11135
MA,137.1,11817
MI,200.9,24692
MN,116.5,7659
MS,229.9,7538
MO,194.7,14338
MT,147.8,1957
NE,143,3296
NV,197.2,5761
NH,147.9,2464
NJ,166.3,18319
NM,143.3,3424
NY,178.3,43116
NC,158.7,17592
ND,149.2,1381
OH,186.4,27000
OK,228.1,9868
OR,132.1,6524
PA,175.8,31353
RI,160.8,2341
SC,181.1,9964
SD,154.6,1704
TN,205.6,15223
TX,169.9,41479
UT,151,3431
VT,156.6,1311
VA,156.1,13874
WA,137.2,10710
WV,192.9,4692
WI,155.1,11229
WY,162.2,1035
